Pitcher,Batter,TaggedPitchType,PitchCall,KorBB,RelSpeed,VertBreak,YBreak,HorzBreak,x0,y0,z0
"Marquez, German","Wade, LaMonte",Slider,StrikeSwinging,Strikeout,86.5563,-2.981575,50,-0.178185,-1.42306,50.0046,5.97498
"Marquez, German","Belt, Brandon",Fastball,StrikeSwinging,Strikeout,96.2869,-1.0864416666666667,50,0.7901175,-1.31256,50.0002,6.17575
"Marquez, German","Crawford, Brandon",Curveball,StrikeSwinging,Strikeout,86.3144,-3.1592333333333333,50,-0.3783066666666666,-1.56134,50.0022,5.86447
"Marquez, German","Yastrzemski, Mike",Curveball,StrikeSwinging,Strikeout,87.2681,-3.642158333333333,50,-0.3499675,-1.21162,50.0036,6.12362
"Marquez, German","Belt, Brandon",Fastball,StrikeSwinging,Strikeout,97.1719,-1.07365,50,0.35562083333333333,-1.36811,50.0015,6.12332
"Marquez, German","Bryant, Kris",Slider,StrikeSwinging,Strikeout,89.4617,-2.313475,50,-0.028309916666666667,-1.37046,50.0053,5.67247
"Marquez, German","Machado, Manny",Curveball,StrikeSwinging,Strikeout,88.1776,-3.016391666666667,50,-0.007948825,-1.20154,50.0004,5.96504
"Marquez, German","Kim, Ha-Seong",Slider,StrikeSwinging,Strikeout,85.7422,-2.9010166666666666,50,0.028436083333333334,-1.73277,50.0025,5.60963
"Marquez, German","Caratini, Victor",Curveball,StrikeSwinging,Strikeout,85.063,-3.2972249999999996,50,-0.19955416666666667,-1.32093,50.0012,6.02842
"Marquez, German","Tatis, Fernando",Fastball,StrikeSwinging,Strikeout,97.0566,-1.323175,50,0.4476075,-1.24493,50.0052,6.1846
